Disease,Symptoms,Medications,Doctor Name,Designation,Email,Hospital Name,Address,Nearest Medical Store,Medical Store Address,Online Websites link to order medicines
Fever,"High temperature, chills, fatigue","Dolo 650, Paracetamol",Dr. Sharma,General Physician,sandeepsun3639@gmail.com,Osmania General Hospital,"Afzal Gunj, Hyderabad",Jeevan Dhara Medical Stores,"Begum Bazaar, Hyderabad",apollopharmacy.in
Cold,"Runny nose, sneezing, congestion","Zincold, LevitalM",Dr. Iyer,ENT Specialist,user.1@gmail.com,Gandhi Hospital,Secunderabad,GP Medical Stores,"Gandhi Hospital Shopping Complex, Musheerabad",apollopharmacy.in
Cough,"Dry cough, sore throat, chest pain","Cofsils syrup, Benadryl",Dr. Mehta,Pulmonologist,ndpr.dd@gmail.com,Nizam's Institute of Medical Sciences (NIMS),"Punjagutta, Hyderabad",Mukesh Medical Hall,"Opp. NIMS Hospital, Punjagutta-Khairatabad Rd",apollopharmacy.in
Hypertension,"High BP, headache, dizziness","Amlodipine, Telmisartan",Dr. Reddy,Cardiologist,teamlead.ejaz@twitter.com,Niloufer Hospital,"Lakdikapul, Hyderabad",Adarsh Medical & General Stores,"Niloufer Hospital Road, Red Hills, Hyderabad",apollopharmacy.in
Diabetes,"Frequent urination, fatigue, thirst","Metformin, Glimepiride",Dr. Khan,Endocrinologist,tarakananda@gmail.com,Institute of Preventive Medicine (IPM),"Narayanguda, Hyderabad",Swastik Medical Hall & General Store,"Narayanaguda Main Road, Hyderabad",apollopharmacy.in
Asthma,"Shortness of breath, wheezing, coughing","Salbutamol inhaler, Montelukast",Dr. Singh,Pulmonologist,kumar777@gmail.com,Princess Durru Shehvar Children's & General Hospital,"Purani Haveli, Hyderabad",Reliable Medical Hall,"Opp. Princess Durru Shehvar Hospital, Purani Haveli",apollopharmacy.in
Migraine,"Headache, nausea, light sensitivity","Sumatriptan, Naproxen",Dr. Banerjee,Neurologist,deleep@gmail.com,Durgabai Deshmukh Hospital,"Vidyanagar, Hyderabad",Apollo Pharmacy,"Opp. Durgabai Deshmukh Hospital, Vidya Nagar",apollopharmacy.in
Allergy,"Sneezing, itching, rash","Cetirizine, Allegra",Dr. Patel,Allergist,karthik@gmail.com,Apoorva Hospital,"Mehdipatnam, Hyderabad",S M Medical General Stores,"Opp. Pillar 19, St. Anns Rd, Mehdipatnam",apollopharmacy.in
Arthritis,"Joint pain, stiffness, swelling","Ibuprofen, Diclofenac",Dr. Gupta,Rheumatologist,ravisastri@gmail.com,Bapuji Hospital,"Nacharam, Hyderabad",Shri Ravindra Medical Store,"Street No. 2, Bapuji Nagar, Nacharam",apollopharmacy.in
Anxiety,"Nervousness, restlessness, increased heart rate","Propranolol, Alprazolam",Dr. Das,Psychiatrist,virat.kohli18@gmail.com,BBR Hospitals,"Balanagar, Hyderabad",SVR Medical & General Store,"Opp. BBR Hospital, Ferozguda, Balanagar",apollopharmacy.in
Depression,"Persistent sadness, fatigue, lack of interest","Sertraline, Fluoxetine",Dr. Roy,Psychiatrist,user.2@gmail.com,Ayaan Institute of Medical Sciences,"Moinabad, Hyderabad",Moinabad Pharmacy,"Moinabad, Ranga Reddy District",apollopharmacy.in
